cifar100,|none~0|+|skip_connect~0|none~1|+|nor_conv_3x3~0|skip_connect~1|none~2|,387.2749126255256,46.939999932861326,3.880239486694336
cifar100,|skip_connect~0|+|nor_conv_1x1~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,403.2081179027088,40.719999981689455,5.2374279499053955
cifar100,|skip_connect~0|+|nor_conv_1x1~0|skip_connect~1|+|none~0|skip_connect~1|nor_conv_3x3~2|,404.56330929278306,54.86000002441406,5.461835622787476
cifar100,|nor_conv_1x1~0|+|none~0|skip_connect~1|+|nor_conv_1x1~0|nor_conv_3x3~1|avg_pool_3x3~2|,417.49851379054843,45.259999987792966,7.65268874168396
cifar100,|nor_conv_1x1~0|+|none~0|avg_pool_3x3~1|+|nor_conv_3x3~0|none~1|skip_connect~2|,405.6764870739837,43.259999926757814,5.488050937652588
cifar100,|skip_connect~0|+|avg_pool_3x3~0|none~1|+|nor_conv_1x1~0|none~1|nor_conv_3x3~2|,405.16700219225,43.95999998779297,5.218540906906128
cifar100,|avg_pool_3x3~0|+|nor_conv_3x3~0|skip_connect~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,411.92593125863,42.41999993896484,7.207271099090576
cifar100,|nor_conv_1x1~0|+|skip_connect~0|skip_connect~1|+|none~0|avg_pool_3x3~1|skip_connect~2|,382.7612618032122,46.31999997558594,3.727726459503174
cifar100,|nor_conv_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|none~0|nor_conv_3x3~1|nor_conv_1x1~2|,418.03662377690034,36.51999997558594,7.269464015960693
cifar100,|skip_connect~0|+|nor_conv_1x1~0|none~1|+|skip_connect~0|nor_conv_1x1~1|skip_connect~2|,401.8100652709888,46.81999993896484,5.486606597900391
cifar100,|none~0|+|skip_connect~0|nor_conv_3x3~1|+|none~0|nor_conv_1x1~1|avg_pool_3x3~2|,330.25836346537176,30.31999997253418,4.671389102935791
cifar100,|nor_conv_1x1~0|+|nor_conv_3x3~0|none~1|+|nor_conv_1x1~0|none~1|none~2|,417.0228947640567,40.279999969482425,6.947515487670898
cifar100,|none~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,405.0619938344186,59.00000001220703,6.6878674030303955
cifar100,|none~0|+|avg_pool_3x3~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_3x3~2|,404.0072180379405,39.43999996948242,5.250526666641235
cifar100,|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|none~0|skip_connect~1|avg_pool_3x3~2|,374.95883466178634,27.35999998474121,3.696540117263794
cifar100,|skip_connect~0|+|skip_connect~0|none~1|+|none~0|nor_conv_1x1~1|skip_connect~2|,385.7761016679909,47.95999998168946,3.8310623168945312
cifar100,|skip_connect~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|,401.1107551403718,41.72,5.041114568710327
cifar100,|none~0|+|skip_connect~0|avg_pool_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,379.5643123702373,42.77999997558594,4.8121678829193115
cifar100,|skip_connect~0|+|none~0|avg_pool_3x3~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,381.2580806160247,33.47999996337891,3.668213129043579
cifar100,|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,402.3216730498335,43.68000001220703,5.300447463989258
cifar100,|nor_conv_1x1~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,433.32740520120456,50.67999995727539,10.496692419052124
cifar100,|none~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|,384.8507759666569,45.51999995727539,5.199605941772461
cifar100,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|avg_pool_3x3~1|nor_conv_1x1~2|,417.07047236059185,55.34000002441406,7.001127481460571
cifar100,|avg_pool_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|avg_pool_3x3~0|skip_connect~1|skip_connect~2|,326.69742714258246,9.78000000152588,2.1921756267547607
cifar100,|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_3x3~2|,414.3515293047779,44.99999995117187,6.591217994689941
cifar100,|skip_connect~0|+|skip_connect~0|avg_pool_3x3~1|+|none~0|skip_connect~1|none~2|,332.88340256420054,43.979999932861325,2.258272886276245
cifar100,|nor_conv_3x3~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_1x1~2|,416.12179129228394,54.95999992675781,7.092383146286011
cifar100,|none~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,379.7556573733024,29.099999966430666,3.552304983139038
cifar100,|skip_connect~0|+|none~0|avg_pool_3x3~1|+|avg_pool_3x3~0|skip_connect~1|skip_connect~2|,325.9144591414956,10.599999989318848,2.1859960556030273
cifar100,|skip_connect~0|+|nor_conv_1x1~0|avg_pool_3x3~1|+|nor_conv_1x1~0|nor_conv_1x1~1|avg_pool_3x3~2|,413.6070921378977,36.82,6.44404673576355
cifar100,|none~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|nor_conv_1x1~2|,418.78775503061684,37.41999993286133,7.495816469192505
cifar100,|nor_conv_1x1~0|+|skip_connect~0|nor_conv_3x3~1|+|none~0|avg_pool_3x3~1|avg_pool_3x3~2|,403.24561692817014,41.48000002441406,5.143276929855347
cifar100,|nor_conv_1x1~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_1x1~0|none~1|skip_connect~2|,416.36759710888606,47.479999932861325,7.097834348678589
cifar100,|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|nor_conv_1x1~0|avg_pool_3x3~1|avg_pool_3x3~2|,425.34803290916517,41.05999992675781,8.280030250549316
cifar100,|avg_pool_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,431.91006456982416,43.700000012207035,9.776750802993774
cifar100,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_1x1~0|nor_conv_3x3~1|nor_conv_1x1~2|,431.49887047904053,47.85999994506836,10.209399461746216
cifar100,|none~0|+|none~0|skip_connect~1|+|avg_pool_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|,329.19266860979724,29.47999997253418,2.1930737495422363
cifar100,|nor_conv_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,432.353573901943,46.759999926757814,10.424203157424927
cifar100,|nor_conv_3x3~0|+|skip_connect~0|skip_connect~1|+|nor_conv_1x1~0|avg_pool_3x3~1|none~2|,404.79461472259925,43.560000006103515,5.298336505889893
cifar100,|none~0|+|nor_conv_3x3~0|none~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,405.246825988744,58.97999991455078,5.662332534790039
cifar100,|none~0|+|skip_connect~0|nor_conv_3x3~1|+|nor_conv_3x3~0|none~1|none~2|,388.106333714053,46.67999993286133,4.9919843673706055
cifar100,|skip_connect~0|+|avg_pool_3x3~0|none~1|+|nor_conv_1x1~0|nor_conv_3x3~1|avg_pool_3x3~2|,402.8534107871013,41.199999938964844,5.134451150894165
cifar100,|none~0|+|none~0|skip_connect~1|+|skip_connect~0|nor_conv_1x1~1|skip_connect~2|,335.11156637832147,44.459999963378905,6.80315899848938
cifar100,|nor_conv_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|none~0|avg_pool_3x3~1|avg_pool_3x3~2|,400.74764232879335,40.05999998168945,4.892330884933472
cifar100,|nor_conv_3x3~0|+|none~0|none~1|+|none~0|none~1|nor_conv_1x1~2|,305.2362285410233,1.0,4.7434165477752686
cifar100,|nor_conv_3x3~0|+|skip_connect~0|none~1|+|avg_pool_3x3~0|none~1|avg_pool_3x3~2|,375.66114218522773,23.579999969482422,3.653648614883423
cifar100,|skip_connect~0|+|none~0|skip_connect~1|+|skip_connect~0|nor_conv_1x1~1|avg_pool_3x3~2|,378.1975091422209,32.19999996337891,3.800366163253784
cifar100,|nor_conv_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|nor_conv_1x1~0|nor_conv_3x3~1|none~2|,418.1195362206321,50.37999996948242,7.214022159576416
cifar100,|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|none~2|,425.7353603311415,45.53999996948242,8.895727396011353
