ImageNet16-120;14714;1537,993544;44,8833333;49,20572567
ImageNet16-120;607;1544,154927;43,34444436;49,18861222
ImageNet16-120;9208;1539,821103;44,48333333;50,10751605
ImageNet16-120;1840;1540,52745;44,16666663;49,65724874
ImageNet16-120;8162;1538,006287;46,84999989;52,0880568
ImageNet16-120;1668;1546,823911;43,76666667;49,70460415
ImageNet16-120;13237;1540,496597;44,69999988;50,11867452
ImageNet16-120;8768;1540,258756;45,40000001;50,15948606
ImageNet16-120;3192;1542,10005;45,47777768;48,59215593
ImageNet16-120;15510;1538,020846;45,76666665;50,1650815
ImageNet16-120;9274;1542,788479;45,61666666;49,16245747
ImageNet16-120;4244;1537,096075;46,06666668;49,24818945
ImageNet16-120;3312;1543,507886;43,81666658;49,12678194
ImageNet16-120;8162;1539,31217;46,84999989;50,53672743
ImageNet16-120;3174;1542,073121;44,74444437;49,41994739
;;1540,865413;45,06222217;49,76541769
;;;46,84999989;
