cifar100,5207,,71.01999998372396,52.11630177497864,1746.819400790409
cifar100,14417,,69.58999998168946,52.802207946777344,1748.397091538936
cifar100,13323,,69.71000000000001,51.86579895019531,1746.9117247476279
cifar100,4317,,65.70666669514975,51.27011847496033,1747.2978155328174
cifar100,3621,,71.71333326009115,50.17078995704651,1747.9389419521153
cifar100,15128,,69.85000001220703,49.2740273475647,1748.5438452777544
cifar100,10063,,69.44999998168944,48.06845021247864,1744.4694654406514
cifar100,2011,,69.79333330891927,49.66742277145386,1747.5685953219215
cifar100,7361,,69.88000001831054,50.16328263282776,1748.038460884135
cifar100,10593,,70.15999994506836,49.472440004348755,1746.6812441594254
