cifar100,1731,108.0850554879686,66.67333334960938,85.96421933174133
cifar100,12726,109.02793734538945,70.5699999572754,88.53977155685425
cifar100,7968,107.39932946529743,65.16999999389648,87.3308482170105
cifar100,11584,107.72056960670541,71.68000001831055,88.36646795272827
cifar100,12726,108.94451889729602,70.5699999572754,87.18838620185852
cifar100,3621,108.1693250187631,71.71333326009115,88.43944525718689
cifar100,10436,109.2119387466977,71.27999990234375,87.75082778930664
cifar100,655,108.50066724188392,72.41999998779296,88.7075662612915
cifar100,5721,110.20605658928616,70.22000001424153,86.97646594047546
cifar100,1731,108.13294362860967,66.67333334960938,88.76641631126404
