cifar100,15128,1748.4985876210171,69.85000001220703,45.746806621551514
cifar100,862,1747.3207159983674,71.04000003255209,45.98258638381958
cifar100,1303,1747.8924553372065,69.6133332763672,46.86200761795044
cifar100,13700,1746.7761792281883,69.73333330078124,45.85314607620239
cifar100,2011,1746.7002381773702,69.79333330891927,46.53590202331543
cifar100,5636,1747.2571839975446,69.21999997762045,46.885944843292236
cifar100,10593,1748.4268653898414,70.15999994506836,46.935946226119995
cifar100,7361,1748.61564029181,69.88000001831054,46.934046268463135
cifar100,7337,1747.1610717869842,71.41999999389648,46.66721153259277
cifar100,15128,1747.755594200759,69.85000001220703,48.2949755191803
