cifar10,5636,1749.0843891023733,92.67,59.32879304885864
cifar10,1303,,92.48666666666666,47.28930997848511,1747.9712021199744
cifar10,13323,,92.815,46.41977834701538,1748.771922619483
cifar10,4317,,89.37,45.309507846832275,1750.237139818476
cifar10,2011,,92.83,46.456377029418945,1748.4647721717245
cifar10,13700,,93.25333333333333,51.063154458999634,1748.697081826614
cifar10,10593,,92.92,51.76828098297119,1747.9905795197944
cifar10,1303,,92.48666666666666,54.31480288505554,1749.5554832571022
cifar10,9608,,93.065,50.415154695510864,1749.1291938574077
cifar10,7361,,92.545,50.904749631881714,1747.366516541105
